segmentId,time,dimensionlessDischarge,overThreshold,threshold
1,24.000000,0.000000,0,450.162586
2,24.000000,0.000000,0,51.160831
3,24.000000,0.000000,0,381.152321
4,24.000000,4.593046,0,52.225016
5,24.000000,7.860168,0,52.258619
6,24.000000,2.304195,0,56.492945
7,24.000000,0.000000,0,288.785928
8,24.000000,0.000000,0,42.607805
9,24.000000,0.248766,0,43.789737
10,24.000000,0.000000,0,154.335258
11,24.000000,0.000000,0,292.037236
12,24.000000,0.004522,0,57.031906
13,24.000000,6.700925,0,107.326159
14,24.000000,0.000000,0,178.260347
15,24.000000,2.075897,0,191.906118
16,24.000000,0.000000,0,60.697337
17,24.000000,0.000000,0,49.104228
18,24.000000,0.009583,0,108.573805
19,24.000000,0.000000,0,79.254143
20,24.000000,0.000000,0,248.648946
21,24.000000,0.000000,0,123.753423
22,24.000000,0.003004,0,53.891057
23,24.000000,0.000000,0,39.344742
24,24.000000,5.371992,0,40.813500
25,24.000000,0.000000,0,23.495425
26,24.000000,0.006646,0,47.531385
27,24.000000,2.717016,0,56.790344
28,24.000000,47.317460,1,46.396326
29,24.000000,0.000000,0,52.101336
30,24.000000,4.050782,0,77.602311
31,24.000000,0.000000,0,75.862225
32,24.000000,0.000000,0,136.050582
33,24.000000,0.000000,0,190.218019
34,24.000000,0.007467,0,78.372864
35,24.000000,0.000000,0,28.582419
36,24.000000,0.002356,0,47.343457
37,24.000000,0.000000,0,47.305638
38,24.000000,0.000000,0,31.052056
39,24.000000,0.000000,0,75.289383
40,24.000000,0.000000,0,66.439213
41,24.000000,0.416461,0,100.633601
42,24.000000,0.675227,0,118.393540
43,24.000000,0.000000,0,173.776110
44,24.000000,0.000000,0,50.892688
45,24.000000,0.000000,0,47.607844
46,24.000000,0.000000,0,38.919038
47,24.000000,0.000000,0,130.419045
48,24.000000,0.002123,0,42.044462
49,24.000000,0.017688,0,46.893745
50,24.000000,0.510653,0,66.011718
51,24.000000,0.014615,0,1181.166341
52,24.000000,0.000000,0,78.372864
53,24.000000,0.000000,0,104.293003
54,24.000000,0.000000,0,47.169590
55,24.000000,1.250205,0,57.875533
56,24.000000,0.000000,0,39.422379
57,24.000000,5.918067,0,66.041452
58,24.000000,2.222309,0,106.392786
59,24.000000,2.772435,0,126.308648
60,24.000000,0.000000,0,81.983475
61,24.000000,0.000000,0,97.968849
62,24.000000,0.000000,0,34.718733
63,24.000000,0.000000,0,64.572746
64,24.000000,0.000000,0,51.180628
65,24.000000,4.566570,0,63.765433
66,24.000000,0.000000,0,113.689850
67,24.000000,0.000000,0,79.361079
68,24.000000,0.000000,0,89.757826
69,24.000000,19.684569,0,68.091890
70,24.000000,0.000000,0,40.724000
71,24.000000,2.616245,0,42.006685
72,24.000000,0.000000,0,38.777822
73,24.000000,0.000000,0,48.185216
74,24.000000,0.000000,0,70.453741
75,24.000000,0.082640,0,61.819628
76,24.000000,0.002487,0,105.244662
77,24.000000,0.000000,0,111.440239
78,24.000000,8.822945,0,54.729799
79,24.000000,0.000000,0,34.395239
80,24.000000,0.000000,0,49.378177
81,24.000000,0.000000,0,47.976722
82,24.000000,0.000783,0,44.762856
83,24.000000,0.000000,0,31.047587
84,24.000000,0.004522,0,66.101004
85,24.000000,0.000000,0,93.958648
86,24.000000,6.540362,0,84.865091
87,24.000000,2.110486,0,59.049141
88,24.000000,0.000999,0,63.199054
89,24.000000,0.000000,0,46.000685
90,24.000000,1.757067,0,47.752969
91,24.000000,2.682336,0,54.590463
92,24.000000,0.673893,0,62.677477
93,24.000000,0.000997,0,79.254143
94,24.000000,7.772616,0,94.809695
95,24.000000,2.173468,0,112.875211
96,24.000000,10.037949,0,43.945868
97,24.000000,3.708595,0,49.288793
98,24.000000,0.000000,0,52.868705
99,24.000000,0.000995,0,50.557409
100,24.000000,0.000000,0,41.343211
101,24.000000,0.002355,0,102.378880
102,24.000000,0.001769,0,67.047738
103,24.000000,0.012637,0,162.623289
104,24.000000,0.006274,0,55.702925
105,24.000000,3.688437,0,42.044462
106,24.000000,9.950898,0,69.591700
107,24.000000,11.585411,0,96.813401
108,24.000000,5.162488,0,98.728949
109,24.000000,0.001493,0,136.945331
110,24.000000,12.472971,0,52.062812
111,24.000000,1.382224,0,57.718733
112,24.000000,0.678494,0,105.395421
113,24.000000,4.513391,0,52.253446
114,24.000000,4.674355,0,58.130243
115,24.000000,2.907059,0,76.508499
116,24.000000,4.991395,0,65.373050
117,24.000000,4.839081,0,214.557635
118,24.000000,3.186226,0,45.287520
119,24.000000,2.233040,0,57.084843
120,24.000000,4.987258,0,62.019657
121,24.000000,4.986882,0,130.125002
122,24.000000,3.973459,0,41.332097
123,24.000000,4.978608,0,51.467003
124,24.000000,2.647034,0,315.223399
125,24.000000,3.970450,0,146.484550
126,24.000000,7.119733,0,52.248274
127,24.000000,2.632993,0,65.364735
128,24.000000,8.737398,0,97.790672
129,24.000000,1.722467,0,150.261160
130,24.000000,4.493339,0,51.170728
131,24.000000,4.527438,0,54.471626
132,24.000000,4.899559,0,101.300485
133,24.000000,4.897648,0,137.645522
134,24.000000,4.895547,0,59.260919
135,24.000000,5.353343,0,71.966300
136,24.000000,6.662070,0,78.960103
137,24.000000,8.353997,0,147.175418
138,24.000000,9.251633,0,101.998630
1,48.000000,0.000000,0,450.162586
2,48.000000,0.000000,0,51.160831
3,48.000000,0.000000,0,381.152321
4,48.000000,11.871035,0,52.225016
5,48.000000,13.504446,0,52.258619
6,48.000000,5.369886,0,56.492945
7,48.000000,0.000000,0,288.785928
8,48.000000,0.000000,0,42.607805
9,48.000000,3.864044,0,43.789737
10,48.000000,0.000000,0,154.335258
11,48.000000,0.000000,0,292.037236
12,48.000000,0.003615,0,57.031906
13,48.000000,6.463540,0,107.326159
14,48.000000,0.000000,0,178.260347
15,48.000000,5.243221,0,191.906118
16,48.000000,0.000000,0,60.697337
17,48.000000,0.000000,0,49.104228
18,48.000000,3.412241,0,108.573805
19,48.000000,0.000000,0,79.254143
20,48.000000,0.000000,0,248.648946
21,48.000000,0.000000,0,123.753423
22,48.000000,0.002422,0,53.891057
23,48.000000,0.000000,0,39.344742
24,48.000000,6.345199,0,40.813500
25,48.000000,0.000000,0,23.495425
26,48.000000,0.005360,0,47.531385
27,48.000000,5.308810,0,56.790344
28,48.000000,83.990221,1,46.396326
29,48.000000,0.000000,0,52.101336
30,48.000000,4.194898,0,77.602311
31,48.000000,0.000000,0,75.862225
32,48.000000,0.000000,0,136.050582
33,48.000000,0.000000,0,190.218019
34,48.000000,0.006004,0,78.372864
35,48.000000,0.000000,0,28.582419
36,48.000000,0.001903,0,47.343457
37,48.000000,0.000000,0,47.305638
38,48.000000,0.000000,0,31.052056
39,48.000000,0.000000,0,75.289383
40,48.000000,0.000000,0,66.439213
41,48.000000,1.467633,0,100.633601
42,48.000000,1.502734,0,118.393540
43,48.000000,0.000000,0,173.776110
44,48.000000,0.000000,0,50.892688
45,48.000000,0.000000,0,47.607844
46,48.000000,0.000000,0,38.919038
47,48.000000,0.000000,0,130.419045
48,48.000000,0.002958,0,42.044462
49,48.000000,0.014266,0,46.893745
50,48.000000,1.470742,0,66.011718
51,48.000000,0.027677,0,1181.166341
52,48.000000,0.000000,0,78.372864
53,48.000000,0.000000,0,104.293003
54,48.000000,0.000000,0,47.169590
55,48.000000,2.041287,0,57.875533
56,48.000000,0.000000,0,39.422379
57,48.000000,8.231138,0,66.041452
58,48.000000,3.998732,0,106.392786
59,48.000000,15.795252,0,126.308648
60,48.000000,0.000000,0,81.983475
61,48.000000,0.000000,0,97.968849
62,48.000000,0.000000,0,34.718733
63,48.000000,0.000000,0,64.572746
64,48.000000,0.000000,0,51.180628
65,48.000000,4.715499,0,63.765433
66,48.000000,0.000000,0,113.689850
67,48.000000,0.000000,0,79.361079
68,48.000000,0.000000,0,89.757826
69,48.000000,24.018869,0,68.091890
70,48.000000,0.000000,0,40.724000
71,48.000000,4.498674,0,42.006685
72,48.000000,0.000000,0,38.777822
73,48.000000,0.000000,0,48.185216
74,48.000000,0.000000,0,70.453741
75,48.000000,1.283903,0,61.819628
76,48.000000,0.002002,0,105.244662
77,48.000000,0.000000,0,111.440239
78,48.000000,13.915130,0,54.729799
79,48.000000,0.000000,0,34.395239
80,48.000000,0.000000,0,49.378177
81,48.000000,0.000000,0,47.976722
82,48.000000,0.000635,0,44.762856
83,48.000000,0.000000,0,31.047587
84,48.000000,0.006103,0,66.101004
85,48.000000,0.000000,0,93.958648
86,48.000000,8.001676,0,84.865091
87,48.000000,2.064955,0,59.049141
88,48.000000,0.000808,0,63.199054
89,48.000000,0.000000,0,46.000685
90,48.000000,3.508117,0,47.752969
91,48.000000,5.763622,0,54.590463
92,48.000000,1.501129,0,62.677477
93,48.000000,0.000808,0,79.254143
94,48.000000,10.068035,0,94.809695
95,48.000000,2.292110,0,112.875211
96,48.000000,17.018079,0,43.945868
97,48.000000,6.237288,0,49.288793
98,48.000000,0.000000,0,52.868705
99,48.000000,0.000808,0,50.557409
100,48.000000,0.000000,0,41.343211
101,48.000000,0.001922,0,102.378880
102,48.000000,0.001445,0,67.047738
103,48.000000,0.023939,0,162.623289
104,48.000000,0.011930,0,55.702925
105,48.000000,6.238692,0,42.044462
106,48.000000,14.048515,0,69.591700
107,48.000000,19.481182,0,96.813401
108,48.000000,8.528897,0,98.728949
109,48.000000,0.001212,0,136.945331
110,48.000000,21.238249,0,52.062812
111,48.000000,2.338983,0,57.718733
112,48.000000,1.960529,0,105.395421
113,48.000000,6.039166,0,52.253446
114,48.000000,7.962087,0,58.130243
115,48.000000,4.588232,0,76.508499
116,48.000000,8.639791,0,65.373050
117,48.000000,7.999696,0,214.557635
118,48.000000,5.253526,0,45.287520
119,48.000000,3.952398,0,57.084843
120,48.000000,8.636783,0,62.019657
121,48.000000,8.636407,0,130.125002
122,48.000000,6.778749,0,41.332097
123,48.000000,8.630389,0,51.467003
124,48.000000,4.598261,0,315.223399
125,48.000000,7.456905,0,146.484550
126,48.000000,13.051841,0,52.248274
127,48.000000,4.587831,0,65.364735
128,48.000000,15.568699,0,97.790672
129,48.000000,3.049169,0,150.261160
130,48.000000,8.167459,0,51.170728
131,48.000000,8.302420,0,54.471626
132,48.000000,8.691064,0,101.300485
133,48.000000,8.689536,0,137.645522
134,48.000000,8.687817,0,59.260919
135,48.000000,9.575233,0,71.966300
136,48.000000,11.895257,0,78.960103
137,48.000000,14.543848,0,147.175418
138,48.000000,15.794120,0,101.998630
1,72.000000,0.000000,0,450.162586
2,72.000000,0.000000,0,51.160831
3,72.000000,0.000000,0,381.152321
4,72.000000,9.107265,0,52.225016
5,72.000000,10.281250,0,52.258619
6,72.000000,3.895936,0,56.492945
7,72.000000,0.000000,0,288.785928
8,72.000000,0.000000,0,42.607805
9,72.000000,2.257711,0,43.789737
10,72.000000,0.000000,0,154.335258
11,72.000000,0.000000,0,292.037236
12,72.000000,0.000003,0,57.031906
13,72.000000,6.515891,0,107.326159
14,72.000000,0.000000,0,178.260347
15,72.000000,3.791534,0,191.906118
16,72.000000,0.000000,0,60.697337
17,72.000000,0.000000,0,49.104228
18,72.000000,5.665840,0,108.573805
19,72.000000,0.000000,0,79.254143
20,72.000000,0.000000,0,248.648946
21,72.000000,0.000000,0,123.753423
